// HSK 2012-2018/Level 1
只有…才…	zhi3you3…cai2…
中间	zhong1jian1
中文	Zhong1wen2
终于	zhong1yu2
种	zhong3
重要	zhong4yao4
周末	zhou1mo4
主要	zhu3yao4
注意	zhu4//yi4
自己	zi4ji3
自行车	zi4xing2che1
总是	zong3shi4
嘴	zui3
最后	zui4hou4
最近	zui4jin4
作业	zuo4ye4
// HSK 2012-2018/Level 4
爱情	ai4qing2
安排	an1pai2
安全	an1quan2
按时	an4shi2
按照	an4zhao4
百分之…	bai3fen1zhi1…
棒	bang4
包子	bao1zi5
保护	bao3hu4
保证	bao3zheng4
报名	bao4//ming2
抱	bao4
抱歉	bao4qian4
倍	bei4
本来	ben3lai2
笨	ben4
比如	bi3ru2
毕业	bi4//ye4
遍	bian4
标准	biao1zhun3
表格	biao3ge2
表示	biao3shi4
表演	biao3yan3
表扬	biao3yang2
饼干	bing3gan1
并且	bing4qie3
博士	bo2shi4
不得不	bu4de2bu4
不管	bu4guan3
不过	bu4guo4
不仅	bu4jin3
部分	bu4fen5
擦	ca1
猜	cai1
材料	cai2liao4
参观	can1guan1
餐厅	can1ting1
厕所	ce4suo3
差不多	cha4bu5duo1
长城	Chang2cheng2
长江	Chang2 Jiang1
尝	chang2
场	chang3
超过	chao1//guo4
成功	cheng2gong1
成为	cheng2wei2
诚实	cheng2shi5
乘坐	cheng2zuo4
吃惊	chi1//jing1
重新	chong2xin1
抽烟	chou1//yan1
出差	chu1//chai1
出发	chu1fa1
出生	chu1sheng1
出现	chu1xian4
厨房	chu2fang2
传真	chuan2zhen1
窗户	chuang1hu5
词语	ci2yu3
从来	cong2lai2
粗心	cu1xin1
存	cun2
错误	cuo4wu4
答案	da2an4
打扮	da3ban5
打扰	da3rao3
打印	da3yin4
打招呼	da3//zhao1hu5
打折	da3//zhe2
打针	da3//zhen1
大概	da4gai4
大使馆	da4shi3guan3
大约	da4yue1
大夫	dai4fu5
戴	dai4
当	dang1
当时	dang1shi2
刀	dao1
导游	dao3you2
到处	dao4chu4
到底	dao4di3
倒	dao4
道歉	dao4//qian4
得意	de2yi4
得	dei3
登机牌	deng1ji1pai2
等	deng3
低	di1
底	di3
地点	di4dian3
地球	di4qiu2
地址	di4zhi3
调查	diao4cha2
掉	diao4
丢	diu1
动作	dong4zuo4
堵车	du3//che1
肚子	du4zi5
短信	duan3xin4
对话	dui4hua4
对面	dui4mian4
对于	dui4yu2
儿童	er2tong2
而	er2
发生	fa1sheng1
发展	fa1zhan3
法律	fa3lü4
翻译	fan1yi4
烦恼	fan2nao3
反对	fan3dui4
方法	fang1fa3
方面	fang1mian4
方向	fang1xiang4
房东	fang2dong1
放弃	fang4qi4
放暑假	fang4 shu3jia4
放松	fang4song1
份	fen4
丰富	feng1fu4
否则	fou3ze2
符合	fu2he2
父亲	fu4qin5
付款	fu4//kuan3
负责	fu4ze2
复印	fu4yin4
复杂	fu4za2
富	fu4
改变	gai3bian4
干杯	gan1//bei1
赶	gan3
敢	gan3
感动	gan3dong4
感觉	gan3jue2
感情	gan3qing2
感谢	gan3xie4
干	gan4
刚	gang1
高速公路	gao1su4gong1lu4
胳膊	ge1bo5
各	ge4
工资	gong1zi1
公里	gong1li3
功夫	gong1fu5
共同	gong4tong2
购物	gou4wu4
够	gou4
估计	gu1ji4
鼓励	gu3li4
故意	gu4yi4
顾客	gu4ke4
挂	gua4
关键	guan1jian4
观众	guan1zhong4
管理	guan3li3
光	guang1
广播	guang3bo1
广告	guang3gao4
逛	guang4
规定	gui1ding4
国籍	guo2ji2
国际	guo2ji4
果汁	guo3zhi1
过程	guo4cheng2
海洋	hai3yang2
害羞	hai4//xiu1
寒假	han2jia4
汗	han4
航班	hang2ban1
好处	hao3chu5
好像	hao3xiang4
号码	hao4ma3
合格	he2ge2
合适	he2shi4
盒子	he2zi5
后悔	hou4hui3
厚	hou4
互联网	hu4lian2wang3
互相	hu4xiang1
护士	hu4shi5
怀疑	huai2yi2
回忆	hui2yi4
活动	huo2dong5
活泼	huo2po5
火	huo3
获得	huo4de2
积极	ji1ji2
积累	ji1lei3
基础	ji1chu3
激动	ji1dong4
及时	ji2shi2
即使	ji2shi3
计划	ji4hua4
记者	ji4zhe3
技术	ji4shu4
既然	ji4ran2
继续	ji4xu4
寄	ji4
加班	jia1//ban1
加油站	jia1you2zhan4
家具	jia1ju5
假	jia3
假	jia4
价格	jia4ge2
坚持	jian1chi2
减肥	jian3//fei2
减少	jian3shao3
建议	jian4yi4
将来	jiang1lai2
奖金	jiang3jin1
降低	jiang4di1
降落	jiang4luo4
交	jiao1
交流	jiao1liu2
交通	jiao1tong1
郊区	jiao1qu1
骄傲	jiao1ao4
饺子	jiao3zi5
教授	jiao4shou4
教育	jiao4yu4
接受	jie1shou4
